1.07	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.20;0.17;0.04;0.17;2;0;0.24;0.12	0.20;0.17;0.04;0.17;0;0;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17
2.16	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.20;0.17;0.04;0.17;3;0;0.24;0.12	0.20;0.17;0.04;0.17;0;0;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17
3.56	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.20;0.17;0.04;0.17;2;0;0.24;0.12	0.20;0.17;0.04;0.17;0;0;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17
4.20	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.20;0.17;0.04;0.17;2;0;0.24;0.12	0.20;0.17;0.04;0.17;0;0;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17
5.57	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.20;0.17;0.04;0.17;3;0;0.24;0.12	0.20;0.17;0.04;0.17;0;0;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17
6.57	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;1;0;0.04;0.17	0.20;0.17;0.04;0.17;3;0;0.24;0.12	0.20;0.17;0.04;0.17;0;0;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17
7.35	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;1;0;0.04;0.17	0.20;0.17;0.04;0.17;3;0;0.24;0.12	0.20;0.17;0.04;0.17;0;0;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17
8.22	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;1;0;0.04;0.17	0.20;0.17;0.04;0.17;2;0;0.24;0.12	0.20;0.17;0.04;0.17;0;0;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17
9.51	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.20;0.17;0.04;0.17;0;0;0.24;0.12	0.20;0.17;0.04;0.17;0;0;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17
10.02	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;1;0;0.04;0.17	0.23;0.13;0.01;0.13;5;12;0.23;0.13	0.20;0.17;0.04;0.17;8;9;0.19;0.17	0.20;0.17;0.04;0.17;8;7;0.19;0.17	0.20;0.17;0.04;0.17;7;6;0.19;0.17
