1.20	0.04;0.18;0.20;0.18;1.0;0.04;0.18	0.20;0.18;0.04;0.18;27.0;0.24;0.12
2.00	0.04;0.18;0.20;0.18;1.0;0.04;0.18	0.20;0.18;0.04;0.18;27.0;0.24;0.12
3.20	0.04;0.18;0.20;0.18;1.0;0.04;0.18	0.20;0.18;0.04;0.18;27.0;0.24;0.12
4.00	0.04;0.18;0.20;0.18;1.0;0.04;0.18	0.20;0.18;0.04;0.18;27.0;0.24;0.12
5.20	0.04;0.18;0.20;0.18;1.0;0.04;0.18	0.20;0.18;0.04;0.18;27.0;0.24;0.12
6.00	0.04;0.18;0.20;0.18;1.0;0.04;0.18	0.20;0.18;0.04;0.18;27.0;0.24;0.12
7.20	0.04;0.18;0.20;0.18;1.0;0.04;0.18	0.20;0.18;0.04;0.18;-0.5;0.24;0.13
8.00	0.04;0.18;0.20;0.18;1.0;0.04;0.18	0.22;0.15;0.02;0.15;8.5;0.22;0.15
9.20	0.04;0.18;0.20;0.18;1.0;0.04;0.18	0.20;0.19;0.04;0.19;9.5;0.20;0.19
10.00	0.04;0.18;0.20;0.18;1.0;0.04;0.18	0.18;0.21;0.06;0.21;6.0;0.18;0.21
11.20	0.04;0.18;0.20;0.18;1.0;0.04;0.18	0.16;0.23;0.08;0.23;14.0;0.16;0.23
12.00	0.04;0.18;0.20;0.18;1.0;0.04;0.18	0.16;0.23;0.08;0.23;15.0;0.14;0.23
13.20	0.04;0.18;0.20;0.18;1.0;0.04;0.18	0.16;0.23;0.08;0.23;17.5;0.12;0.23
14.00	0.04;0.18;0.20;0.18;1.0;0.04;0.18	0.16;0.23;0.08;0.23;16.5;0.10;0.23
15.20	0.04;0.18;0.20;0.18;1.0;0.04;0.18	0.16;0.23;0.08;0.23;13.0;0.08;0.23
16.00	0.04;0.18;0.20;0.18;1.0;0.04;0.18	0.16;0.23;0.08;0.23;13.5;0.06;0.21
17.20	0.04;0.18;0.20;0.18;1.0;0.04;0.18	0.16;0.23;0.08;0.23;22.0;0.04;0.17
18.00	0.04;0.18;0.20;0.18;1.0;0.04;0.18	0.16;0.23;0.08;0.23;18.0;0.02;0.15
19.20	0.04;0.18;0.20;0.18;1.0;0.04;0.18	0.16;0.23;0.08;0.23;20.0;0.00;0.12
20.00	0.04;0.18;0.20;0.18;1.0;0.04;0.18	0.16;0.23;0.08;0.23;28.0;0.01;0.12
