0.40	0.04;0.17;0.20;0.17;0;0;0.04;0.17	0.04;0.17;0.20;0.17;65535;0;0.04;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17	0.20;0.17;0.04;0.17;0;65535;0.20;0.17
1.20	0.04;0.17;0.20;0.17;2;1;0.04;0.17	0.04;0.17;0.20;0.17;1;2;0.04;0.17	0.20;0.17;0.04;0.17;2;0;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17
2.00	0.04;0.17;0.20;0.17;2;1;0.04;0.17	0.04;0.17;0.20;0.17;1;2;0.04;0.17	0.20;0.17;0.04;0.17;2;1;0.20;0.17	0.20;0.17;0.04;0.17;0;1;0.20;0.17
2.80	0.04;0.17;0.20;0.17;2;2;0.04;0.17	0.04;0.17;0.20;0.17;1;1;0.04;0.17	0.20;0.17;0.04;0.17;2;1;0.20;0.17	0.20;0.17;0.04;0.17;0;2;0.20;0.17
3.60	0.04;0.17;0.20;0.17;2;2;0.04;0.17	0.04;0.17;0.20;0.17;2;2;0.04;0.17	0.20;0.17;0.04;0.17;2;1;0.20;0.17	0.20;0.17;0.04;0.17;0;1;0.20;0.17
4.40	0.04;0.17;0.20;0.17;3;2;0.04;0.17	0.04;0.17;0.20;0.17;2;1;0.04;0.17	0.20;0.17;0.04;0.17;2;0;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17
5.20	0.04;0.17;0.20;0.17;2;1;0.04;0.17	0.04;0.17;0.20;0.17;2;2;0.04;0.17	0.20;0.17;0.04;0.17;2;1;0.20;0.17	0.20;0.17;0.04;0.17;0;1;0.20;0.17
6.00	0.04;0.17;0.20;0.17;3;2;0.04;0.17	0.04;0.17;0.20;0.17;1;2;0.04;0.17	0.20;0.17;0.04;0.17;2;1;0.20;0.17	0.20;0.17;0.04;0.17;0;1;0.20;0.17
6.80	0.04;0.17;0.20;0.17;2;2;0.04;0.17	0.04;0.17;0.20;0.17;1;2;0.04;0.17	0.20;0.17;0.04;0.17;2;1;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17
7.60	0.04;0.17;0.20;0.17;3;2;0.04;0.17	0.04;0.17;0.20;0.17;2;1;0.04;0.17	0.20;0.17;0.04;0.17;2;0;0.20;0.17	0.20;0.17;0.04;0.17;0;1;0.20;0.17
8.40	0.04;0.17;0.20;0.17;2;2;0.04;0.17	0.04;0.17;0.20;0.17;2;2;0.04;0.17	0.20;0.17;0.04;0.17;2;1;0.20;0.17	0.20;0.17;0.04;0.17;0;2;0.20;0.17
9.20	0.04;0.17;0.20;0.17;2;2;0.04;0.17	0.04;0.17;0.20;0.17;0;2;0.04;0.17	0.20;0.17;0.04;0.17;2;1;0.20;0.17	0.20;0.17;0.04;0.17;0;1;0.20;0.17
10.00	0.04;0.17;0.20;0.17;2;1;0.04;0.17	0.04;0.17;0.20;0.17;2;1;0.04;0.17	0.20;0.17;0.04;0.17;3;1;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17
10.80	0.04;0.17;0.20;0.17;2;1;0.04;0.17	0.04;0.17;0.20;0.17;2;1;0.04;0.17	0.20;0.17;0.04;0.17;3;1;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17
11.60	0.04;0.17;0.20;0.17;2;2;0.04;0.17	0.04;0.17;0.20;0.17;2;1;0.04;0.17	0.20;0.17;0.04;0.17;2;1;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17
12.40	0.04;0.17;0.20;0.17;2;1;0.04;0.17	0.04;0.17;0.20;0.17;2;1;0.04;0.17	0.20;0.17;0.04;0.17;2;1;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17
13.20	0.04;0.17;0.20;0.17;2;2;0.04;0.17	0.04;0.17;0.20;0.17;1;1;0.04;0.17	0.20;0.17;0.04;0.17;3;0;0.20;0.17	0.20;0.17;0.04;0.17;0;1;0.20;0.17
14.00	0.04;0.17;0.20;0.17;2;1;0.04;0.17	0.04;0.17;0.20;0.17;1;1;0.04;0.17	0.20;0.17;0.04;0.17;2;1;0.20;0.17	0.20;0.17;0.04;0.17;0;1;0.20;0.17
14.80	0.04;0.17;0.20;0.17;3;1;0.04;0.17	0.04;0.17;0.20;0.17;2;1;0.04;0.17	0.20;0.17;0.04;0.17;2;1;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17
15.60	0.04;0.17;0.20;0.17;2;2;0.04;0.17	0.04;0.17;0.20;0.17;1;1;0.04;0.17	0.20;0.17;0.04;0.17;3;0;0.20;0.17	0.20;0.17;0.04;0.17;0;1;0.20;0.17
16.40	0.04;0.17;0.20;0.17;2;2;0.04;0.17	0.04;0.17;0.20;0.17;1;2;0.04;0.17	0.20;0.17;0.04;0.17;2;1;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17
17.20	0.04;0.17;0.20;0.17;3;1;0.04;0.17	0.04;0.17;0.20;0.17;1;2;0.04;0.17	0.20;0.17;0.04;0.17;2;1;0.20;0.17	0.20;0.17;0.04;0.17;0;1;0.20;0.17
18.00	0.04;0.17;0.20;0.17;3;2;0.04;0.17	0.04;0.17;0.20;0.17;2;2;0.04;0.17	0.20;0.17;0.04;0.17;2;1;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17
18.80	0.04;0.17;0.20;0.17;2;1;0.04;0.17	0.04;0.17;0.20;0.17;1;2;0.04;0.17	0.20;0.17;0.04;0.17;3;1;0.20;0.17	0.20;0.17;0.04;0.17;0;1;0.20;0.17
19.60	0.04;0.17;0.20;0.17;2;1;0.04;0.17	0.04;0.17;0.20;0.17;1;2;0.04;0.17	0.20;0.17;0.04;0.17;2;1;0.20;0.17	0.20;0.17;0.04;0.17;0;2;0.20;0.17
20.40	0.04;0.17;0.20;0.17;2;1;0.04;0.17	0.04;0.17;0.20;0.17;1;2;0.04;0.17	0.20;0.17;0.04;0.17;2;1;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17
21.20	0.04;0.17;0.20;0.17;3;1;0.04;0.17	0.04;0.17;0.20;0.17;1;2;0.04;0.17	0.20;0.17;0.04;0.17;2;1;0.20;0.17	0.20;0.17;0.04;0.17;0;2;0.20;0.17
22.00	0.04;0.17;0.20;0.17;2;2;0.04;0.17	0.04;0.17;0.20;0.17;1;1;0.04;0.17	0.20;0.17;0.04;0.17;2;1;0.20;0.17	0.20;0.17;0.04;0.17;0;0;0.20;0.17
